%	z			mu			sigma_mu
   1.0850321643128319e-02	   3.1534266000000002e+01	   2.4496566540027603e-01	
   1.5770403978604845e-02	   3.5776231000000003e+01	   1.1929055488176757e-01	
   3.3315261806737093e-02	   3.5625740399999998e+01	   1.2672458563278080e-01	
   4.8422079513004077e-02	   3.6581819666666668e+01	   1.2385633369620898e-01	
   7.0379089258411284e-02	   3.8220707000000004e+01	   1.0486659487653825e-01	
   1.0229251313986221e-01	   3.7347587000000004e+01	   9.8356627804129196e-02	
   1.4867709080532487e-01	   3.8949984874999998e+01	   1.4798894687991057e-01	
   2.1609477225485049e-01	   4.0600948050000014e+01	   1.7495363893214683e-01	
   3.1408302612686884e-01	   4.1358242339622642e+01	   1.9647984709211180e-01	
   4.5650408971796430e-01	   4.2410544085271312e+01	   2.6131261620014512e-01	
   6.6350603691983356e-01	   4.3073857615625009e+01	   2.4647075982560784e-01	
   9.6437309313274988e-01	   4.3856679447265606e+01	   2.5815782629529516e-01	
   1.4016684265237425e+00	   4.4827578947986545e+01	   3.8943168027468822e-01	
   2.0372554895028547e+00	   4.5305385522727292e+01	   6.1545089452476032e-01	
   2.9610497397040554e+00	   4.5789209893939379e+01	   8.7854304949362672e-01	
   4.3037388320603016e+00	   4.6650196034482754e+01	   1.3631136323715796e+00	
   6.2552707866484472e+00	   4.6973334642857139e+01	   1.4643565038375339e+00	
