%	z			mu			sigma_mu
   1.0850321643128319e-02	   2.9242577645051206e+01	   2.3155599064439361e-01	
   1.5770403978604845e-02	   3.5296686860068256e+01	   2.4989437313298773e-01	
   3.3315261806737093e-02	   3.5010537883959032e+01	   2.4510846365241906e-01	
   4.8422079513004077e-02	   3.6160561717861192e+01	   2.5358568112029878e-01	
   7.0379089258411284e-02	   3.7932690273037515e+01	   2.4565062117683384e-01	
   1.0229251313986221e-01	   3.7203700938566548e+01	   2.4609187745856181e-01	
   1.4867709080532487e-01	   3.8585805780716726e+01	   2.7405195548419281e-01	
   2.1609477225485049e-01	   4.0212877047781561e+01	   3.0043912556788627e-01	
   3.1408302612686884e-01	   4.1121170078562670e+01	   3.2801145248148650e-01	
   4.5650408971796430e-01	   4.2209726987591601e+01	   4.0006587730511056e-01	
   6.6350603691983356e-01	   4.2962322209630983e+01	   3.8539825285970014e-01	
   9.6437309313274988e-01	   4.3898396653938413e+01	   3.9379505946312598e-01	
   1.4016684265237425e+00	   4.5148730279863422e+01	   5.5479778609661901e-01	
   2.0372554895028547e+00	   4.5695330539968971e+01	   8.3244517110392546e-01	
   2.9610497397040554e+00	   4.6369370220981146e+01	   1.1815425430685664e+00	
   4.3037388320603016e+00	   4.7471879819347990e+01	   1.8484648534614530e+00	
   6.2552707866484472e+00	   4.7592206021452924e+01	   2.1009666447766691e+00	
